,Subbasin,BMP,LU_Base,LU_BMP
0,13,29,26,426
1,15,29,26,426
2,17,36,27,227
3,18,7,8,208
4,19,91,84,684
5,20,29,26,426
6,21,29,26,426
7,22,29,26,426
8,23,29,26,426
9,24,37,27,327
10,25,37,27,327
11,26,29,26,426
12,27,29,26,426
13,28,29,26,426
14,29,29,26,426
15,30,29,26,426
16,31,29,26,426
17,32,29,26,426
18,33,29,26,426
19,34,29,26,426
20,35,29,26,426
21,36,29,26,426
22,37,29,26,426
23,39,29,26,426
24,40,29,26,426
25,41,29,26,426
26,42,29,26,426
27,43,29,26,426
28,44,29,26,426
29,45,29,26,426
30,46,29,26,426
31,47,29,26,426
32,48,29,26,426
33,49,29,26,426
34,51,29,26,426
35,54,29,26,426
36,55,29,26,426
37,56,29,26,426
38,57,29,26,426
39,58,29,26,426
40,59,29,26,426
41,60,57,36,336
42,61,57,36,336
43,62,29,26,426
44,63,29,26,426
45,64,38,27,427
46,66,29,26,426
47,67,29,26,426
48,68,37,27,327
49,69,29,26,426
50,70,37,27,327
51,71,29,26,426
52,72,29,26,426
53,73,29,26,426
54,74,29,26,426
55,75,29,26,426
56,76,29,26,426
57,77,29,26,426
58,78,29,26,426
59,79,29,26,426
60,80,37,27,327
61,81,29,26,426
62,82,29,26,426
63,83,29,26,426
64,84,29,26,426
65,85,29,26,426
66,86,29,26,426
67,87,29,26,426
68,88,29,26,426
69,89,29,26,426
70,90,29,26,426
71,91,29,26,426
72,92,29,26,426
73,93,29,26,426
74,94,29,26,426
75,95,29,26,426
76,96,29,26,426
77,97,29,26,426
78,98,29,26,426
79,99,29,26,426
80,100,29,26,426
81,102,29,26,426
82,103,37,27,327
83,104,29,26,426
84,105,29,26,426
85,106,29,26,426
86,107,29,26,426
87,108,29,26,426
88,109,29,26,426
89,110,29,26,426
90,111,29,26,426
91,112,7,8,208
92,113,29,26,426
93,114,6,8,108
94,115,6,8,108
95,117,6,8,108
96,118,6,8,108
97,119,7,8,208
98,120,29,26,426
99,121,29,26,426
100,122,29,26,426
101,123,29,26,426
102,125,92,84,784
103,126,92,84,784
104,127,29,26,426
105,128,92,84,784
106,129,92,84,784
107,130,6,8,108
108,131,29,26,426
109,132,36,27,227
110,133,29,26,426
111,134,6,8,108
112,135,29,26,426
113,136,29,26,426
114,137,37,27,327
115,138,6,8,108
116,140,29,26,426
117,141,6,8,108
118,143,29,26,426
119,144,29,26,426
120,145,29,26,426
121,148,36,27,227
122,149,36,27,227
123,150,37,27,327
124,151,29,26,426
125,152,29,26,426
126,154,29,26,426
127,156,88,84,384
128,158,7,8,208
129,159,29,26,426
130,160,29,26,426
131,163,36,27,227
132,166,92,84,784
133,167,29,26,426
134,168,29,26,426
135,169,29,26,426
136,171,29,26,426
137,172,6,8,108
138,173,7,8,208
139,174,6,8,108
140,175,29,26,426
141,176,29,26,426
142,179,29,26,426
143,180,43,28,528
144,181,29,26,426
145,182,29,26,426
146,183,29,26,426
147,184,29,26,426
148,186,29,26,426
149,187,7,8,208
150,188,29,26,426
151,189,29,26,426
152,190,36,27,227
153,191,29,26,426
154,193,29,26,426
155,196,29,26,426
156,199,29,26,426
157,200,29,26,426
158,202,29,26,426
159,204,29,26,426
160,205,29,26,426
161,208,29,26,426
162,209,36,27,227
163,210,29,26,426
164,211,29,26,426
165,212,29,26,426
166,213,29,26,426
167,214,43,28,528
168,215,29,26,426
169,216,29,26,426
170,217,29,26,426
171,219,29,26,426
172,221,37,27,327
173,222,37,27,327
174,225,38,27,427
